designacao,cre,alf_le_resultado,alf_le_meta_2026,alf_le_crescimento_esperado,alf_mat_resultado,alf_mat_meta_2026,alf_mat_crescimento_esperado,iderio_4_resultado,iderio_4_meta_2026,iderio_4_crescimento_esperado,iderio_5_resultado,iderio_5_meta_2026,iderio_5_crescimento_esperado,indicador_rendimento_ai_resultado,indicador_rendimento_ai_meta_2026,indicador_rendimento_ai_crescimento_esperado,iderio_8_resultado,iderio_8_meta_2026,iderio_8_crescimento_esperado,iderio_9_resultado,iderio_9_meta_2026,iderio_9_crescimento_esperado,indicador_rendimento_af_resultado,indicador_rendimento_af_meta_2026,indicador_rendimento_af_crescimento_esperado
313014,3,73.0,76.0,3.0,77.0,80.0,3.0,5.6,6.0,0.4,6.7,7.1,0.4,,,,,,,,,,0.99,0.99,0.0
313015,3,,,,,,,,,,,,,,,,4.9,5.2,0.3,6.2,6.3,0.1,,,
313016,3,,,,,,,,,,,,,,,,3.9,4.6,0.7,5.0,5.5,0.5,,,
313018,3,68.0,72.0,4.0,55.0,60.0,5.0,6.1,6.2,0.1,6.2,6.7,0.5,,,,,,,,,,,,
313019,3,72.0,76.0,4.0,67.0,70.0,3.0,,,,,,,1.0,0.99,0.0,,,,,,,,,
313020,3,,,,,,,,,,,,,,,,4.4,4.9,0.5,5.1,5.5,0.4,,,
313021,3,,,,,,,,,,,,,,,,3.7,4.5,0.8,4.1,5.1,1.0,,,
313022,3,75.0,78.0,3.0,72.0,75.0,3.0,5.3,5.8,0.5,6.5,6.9,0.4,,,,,,,,,,0.99,0.99,0.0
313023,3,82.0,84.0,2.0,75.0,78.0,3.0,,,,,,,1.0,0.99,0.0,,,,,,,,,
313024,3,,,,,,,,,,,,,,,,4.6,5.0,0.4,5.4,5.7,0.3,,,
313025,3,79.0,82.0,3.0,87.0,89.0,2.0,,,,,,,0.99,0.99,0.0,,,,,,,,,
313026,3,71.0,75.0,4.0,81.0,83.0,2.0,,,,,,,1.0,0.99,0.0,,,,,,,,,
313027,3,98.0,98.0,0.0,94.0,95.0,1.0,5.6,6.0,0.4,7.3,7.4,0.1,,,,,,,,,,,,
313029,3,,,,,,,5.6,5.9,0.3,6.1,6.6,0.5,,,,4.9,5.1,0.2,4.7,5.3,0.6,,,
313030,3,,,,,,,,,,,,,,,,5.3,5.4,0.1,5.8,5.9,0.1,,,
313031,3,61.0,66.0,5.0,84.0,86.0,2.0,5.3,5.8,0.5,6.8,7.1,0.3,,,,,,,,,,,,
313032,3,,,,,,,,,,,,,,,,4.7,5.1,0.4,5.5,5.8,0.3,,,
313033,3,87.0,88.0,1.0,88.0,90.0,2.0,5.7,6.0,0.3,7.0,7.2,0.2,,,,,,,,,,,,
313034,3,,,,,,,5.5,5.9,0.4,6.5,6.9,0.4,,,,,,,,,,0.99,0.99,0.0
313035,3,55.0,61.0,6.0,38.0,60.0,22.0,4.6,5.2,0.6,5.9,6.5,0.6,,,,,,,,,,,,
313036,3,,,,,,,,,,,,,,,,4.5,5.0,0.5,5.3,5.7,0.4,,,
313037,3,68.0,72.0,4.0,68.0,71.0,3.0,4.3,4.9,0.6,5.6,6.6,1.0,,,,,,,,,,,,
313038,3,88.0,89.0,1.0,74.0,77.0,3.0,5.4,5.9,0.5,6.8,7.1,0.3,,,,,,,,,,,,
313040,3,,,,,,,,,,,,,,,,4.1,4.7,0.6,5.2,5.6,0.4,,,
313041,3,66.0,70.0,4.0,60.0,64.0,4.0,5.7,6.0,0.3,6.9,7.1,0.2,,,,,,,,,,,,
313042,3,,,,,,,,,,,,,,,,5.2,5.3,0.1,6.0,6.1,0.1,,,
313043,3,89.0,90.0,1.0,89.0,90.0,1.0,5.5,5.9,0.4,7.4,7.5,0.1,,,,,,,,,,,,
313044,3,70.0,74.0,4.0,78.0,81.0,3.0,5.3,5.8,0.5,6.1,6.6,0.5,,,,,,,,,,,,
313046,3,,,,,,,,,,,,,,,,4.8,5.1,0.3,5.3,5.7,0.4,,,
313048,3,69.0,73.0,4.0,59.0,63.0,4.0,5.4,5.9,0.5,6.9,7.2,0.3,,,,,,,,,,,,
313049,3,69.0,73.0,4.0,72.0,75.0,3.0,5.6,5.9,0.3,6.3,6.7,0.4,,,,,,,,,,,,
313051,3,64.0,69.0,5.0,53.0,60.0,7.0,5.6,6.0,0.4,6.7,7.0,0.3,,,,,,,,,,,,
313052,3,,,,,,,,,,,,,,,,4.4,4.9,0.5,5.0,5.5,0.5,,,
313053,3,98.0,98.0,0.0,100.0,100.0,0.0,4.9,5.5,0.6,5.7,6.4,0.7,,,,,,,,,,,,
313054,3,,,,,,,,,,,,,,,,5.0,5.2,0.2,5.4,5.7,0.3,,,
313056,3,37.0,50.0,13.0,38.0,60.0,22.0,5.1,5.7,0.6,5.1,5.9,0.8,,,,,,,,,,,,
313501,3,87.0,88.0,1.0,91.0,92.0,1.0,5.6,6.0,0.4,7.3,7.4,0.1,,,,,,,,,,,,
313502,3,36.0,50.0,14.0,38.0,60.0,22.0,5.6,6.0,0.4,5.4,6.2,0.8,,,,,,,,,,,,
313503,3,60.0,65.0,5.0,67.0,70.0,3.0,5.2,5.8,0.6,5.5,6.2,0.7,,,,,,,,,,,,
328501,3,66.0,70.0,4.0,73.0,76.0,3.0,5.5,5.9,0.4,5.1,6.0,0.9,,,,,,,,,,,,
329001,3,41.0,50.0,9.0,49.0,60.0,11.0,5.1,5.7,0.6,5.7,6.4,0.7,,,,,,,,,,0.99,0.99,0.0
410001,4,80.0,82.0,2.0,83.0,85.0,2.0,5.9,6.1,0.2,7.2,7.4,0.2,,,,,,,,,,,,
410002,4,49.0,56.0,7.0,81.0,83.0,2.0,5.0,5.6,0.6,5.3,6.1,0.8,,,,,,,,,,,,
410003,4,,,,,,,,,,6.7,7.0,0.3,,,,4.5,5.0,0.5,5.3,5.7,0.4,,,
410004,4,73.0,76.0,3.0,94.0,95.0,1.0,5.7,6.0,0.3,6.7,7.0,0.3,,,,,,,,,,,,
410005,4,,,,,,,,,,,,,,,,4.7,5.0,0.3,5.2,5.6,0.4,,,
410006,4,74.0,77.0,3.0,83.0,85.0,2.0,5.2,5.8,0.6,7.4,7.5,0.1,,,,,,,,,,,,
410007,4,72.0,76.0,4.0,74.0,77.0,3.0,6.1,6.2,0.1,6.2,6.7,0.5,,,,,,,,,,,,
410008,4,75.0,78.0,3.0,75.0,78.0,3.0,,,,,,,0.99,0.99,0.0,,,,,,,,,
410009,4,,,,,,,,,,,,,,,,4.4,4.9,0.5,5.0,5.5,0.5,,,
410010,4,,,,,,,4.9,5.5,0.6,6.4,6.8,0.4,,,,4.8,5.1,0.3,5.0,5.4,0.4,,,
410011,4,100.0,100.0,0.0,100.0,100.0,0.0,5.8,6.1,0.3,8.6,8.3,0.0,,,,,,,,,,,,
410013,4,77.0,80.0,3.0,78.0,81.0,3.0,5.2,5.8,0.6,6.4,6.8,0.4,,,,,,,,,,0.99,0.99,0.0
410015,4,79.0,82.0,3.0,89.0,90.0,1.0,6.0,6.1,0.1,6.9,7.2,0.3,,,,,,,,,,0.99,0.99,0.0
410016,4,,,,,,,,,,,,,,,,5.1,5.2,0.1,5.8,5.9,0.1,,,
410018,4,,,,,,,5.4,5.9,0.5,6.5,6.9,0.4,,,,5.0,5.2,0.2,5.4,5.7,0.3,,,
410020,4,34.0,50.0,16.0,75.0,78.0,3.0,4.9,5.5,0.6,5.0,5.8,0.8,,,,,,,,,,0.99,0.99,0.0
410021,4,78.0,81.0,3.0,73.0,76.0,3.0,6.1,6.2,0.1,6.6,6.9,0.3,,,,4.9,5.2,0.3,5.5,5.7,0.2,,,
410022,4,,,,,,,,,,,,,,,,4.2,4.8,0.6,4.9,5.4,0.5,,,
410023,4,67.0,71.0,4.0,70.0,73.0,3.0,5.2,5.8,0.6,6.3,6.7,0.4,,,,,,,,,,,,
410025,4,,,,,,,,,,,,,,,,5.2,5.3,0.1,5.8,5.9,0.1,,,
410026,4,47.0,54.0,7.0,43.0,60.0,17.0,4.8,5.4,0.6,4.9,5.8,0.9,,,,,,,,,,,,
410202,4,88.0,89.0,1.0,98.0,98.0,0.0,6.4,6.2,0.0,7.7,7.5,0.0,,,,,,,,,,,,
410501,4,,,,,,,,,,,,,,,,4.0,4.6,0.6,4.5,5.1,0.6,,,
410502,4,68.0,72.0,4.0,100.0,100.0,0.0,5.8,6.1,0.3,5.9,6.5,0.6,,,,,,,,,,0.99,0.99,0.0
411001,4,40.0,50.0,10.0,61.0,65.0,4.0,5.5,5.9,0.4,5.8,6.3,0.5,,,,,,,,,,0.99,0.99,0.0
411002,4,,,,,,,,,,,,,,,,3.8,4.6,0.8,4.1,4.9,0.8,,,
411004,4,70.0,74.0,4.0,74.0,77.0,3.0,4.8,5.4,0.6,5.5,6.3,0.8,,,,4.3,4.9,0.6,4.8,5.4,0.6,,,
411005,4,83.0,85.0,2.0,50.0,60.0,10.0,5.9,6.1,0.2,6.5,6.9,0.4,,,,5.4,5.5,0.1,5.8,5.9,0.1,,,
411006,4,95.0,95.0,0.0,83.0,85.0,2.0,5.9,6.1,0.2,6.7,7.0,0.3,,,,,,,,,,0.99,0.99,0.0
411007,4,75.0,78.0,3.0,83.0,85.0,2.0,5.8,6.1,0.3,6.8,7.1,0.3,,,,,,,,,,,,
411008,4,,,,,,,,,,,,,,,,4.3,4.9,0.6,4.7,5.4,0.7,,,
411009,4,,,,,,,,,,,,,,,,4.6,5.1,0.5,5.0,5.5,0.5,,,
411010,4,,,,,,,,,,,,,,,,4.0,4.7,0.7,4.7,5.3,0.6,,,
411011,4,58.0,64.0,6.0,69.0,72.0,3.0,5.6,6.0,0.4,6.1,6.6,0.5,,,,,,,,,,,,
411012,4,79.0,82.0,3.0,100.0,100.0,0.0,5.6,6.0,0.4,6.9,7.1,0.2,,,,,,,,,,,,
411013,4,,,,,,,,,,,,,,,,4.7,5.1,0.4,5.1,5.5,0.4,,,
411014,4,82.0,84.0,2.0,93.0,94.0,1.0,6.1,6.2,0.1,7.7,7.5,0.0,,,,,,,,,,,,
411015,4,82.0,84.0,2.0,100.0,100.0,0.0,6.1,6.2,0.1,7.2,7.3,0.1,,,,,,,,,,,,
411017,4,82.0,84.0,2.0,98.0,98.0,0.0,4.9,5.5,0.6,6.2,6.7,0.5,,,,,,,,,,,,
411018,4,,,,,,,,,,,,,,,,4.6,5.0,0.4,4.9,5.4,0.5,,,
411020,4,,,,,,,,,,,,,,,,5.0,5.3,0.3,6.0,6.1,0.1,,,
411021,4,92.0,93.0,1.0,84.0,86.0,2.0,5.2,5.8,0.6,7.0,7.2,0.2,,,,,,,,,,,,
411022,4,100.0,100.0,0.0,100.0,100.0,0.0,5.4,5.9,0.5,6.7,7.0,0.3,,,,,,,,,,,,
411023,4,59.0,64.0,5.0,100.0,100.0,0.0,5.8,6.0,0.2,5.9,6.5,0.6,,,,,,,,,,,,
411028,4,,,,,,,,,,,,,,,,4.0,4.7,0.7,4.1,4.9,0.8,,,
411036,4,69.0,73.0,4.0,39.0,60.0,21.0,4.9,5.5,0.6,5.7,6.3,0.6,,,,,,,,,,,,
411049,4,64.0,69.0,5.0,91.0,92.0,1.0,5.0,5.6,0.6,5.8,6.4,0.6,,,,,,,,,,,,
411202,4,78.0,81.0,3.0,97.0,97.0,0.0,5.7,6.0,0.3,7.8,7.5,0.0,,,,,,,,,,0.99,0.99,0.0
411502,4,67.0,71.0,4.0,70.0,73.0,3.0,5.1,5.7,0.6,5.5,6.2,0.7,,,,,,,,,,0.99,0.99,0.0
430001,4,,,,,,,,,,,,,,,,4.0,4.7,0.7,4.0,4.8,0.8,,,
430002,4,52.0,58.0,6.0,62.0,66.0,4.0,5.2,5.8,0.6,6.0,6.6,0.6,,,,,,,,,,,,
430003,4,,,,,,,,,,,,,,,,4.9,5.2,0.3,5.1,5.6,0.5,,,
430004,4,94.0,94.0,0.0,92.0,93.0,1.0,6.6,6.3,0.0,7.6,7.5,0.0,,,,,,,,,,,,
430005,4,63.0,68.0,5.0,72.0,75.0,3.0,5.4,5.9,0.5,5.9,6.5,0.6,,,,,,,,,,0.99,0.99,0.0
430007,4,69.0,73.0,4.0,57.0,61.0,4.0,6.0,6.1,0.1,5.5,6.2,0.7,,,,,,,,,,0.99,0.99,0.0
430009,4,62.0,67.0,5.0,79.0,82.0,3.0,5.4,5.9,0.5,6.1,6.6,0.5,,,,,,,,,,,,
430010,4,62.0,67.0,5.0,57.0,61.0,4.0,5.1,5.7,0.6,5.6,6.3,0.7,,,,,,,,,,0.99,0.99,0.0
430011,4,83.0,85.0,2.0,83.0,85.0,2.0,5.3,5.8,0.5,,,,,,,,,,,,,,,
430012,4,43.0,51.0,8.0,60.0,64.0,4.0,5.3,5.8,0.5,5.0,5.9,0.9,,,,,,,,,,,,
430013,4,71.0,75.0,4.0,58.0,62.0,4.0,5.8,6.1,0.3,5.7,6.3,0.6,,,,,,,,,,0.99,0.99,0.0
430014,4,48.0,55.0,7.0,63.0,67.0,4.0,5.2,5.8,0.6,5.7,6.4,0.7,,,,,,,,,,0.99,0.99,0.0
430015,4,69.0,73.0,4.0,68.0,71.0,3.0,5.2,5.8,0.6,5.8,6.4,0.6,,,,,,,,,,0.99,0.99,0.0
430016,4,,,,,,,,,,,,,,,,3.7,4.5,0.8,4.2,5.0,0.8,,,
430018,4,74.0,77.0,3.0,66.0,70.0,4.0,5.3,5.9,0.6,7.3,7.4,0.1,,,,,,,,,,,,
430019,4,,,,,,,,,,,,,,,,4.5,4.9,0.4,5.2,5.6,0.4,,,
430020,4,46.0,53.0,7.0,56.0,60.0,4.0,5.5,5.9,0.4,5.0,5.9,0.9,,,,,,,,,,,,
430201,4,36.0,50.0,14.0,61.0,65.0,4.0,5.4,5.9,0.5,5.2,6.0,0.8,,,,,,,,,,,,
430204,4,,,,,,,,,,,,,,,,4.1,4.7,0.6,4.6,5.2,0.6,,,
430206,4,65.0,70.0,5.0,72.0,76.0,4.0,5.5,5.9,0.4,5.2,6.0,0.8,,,,,,,5.0,5.5,0.5,,,
430501,4,78.0,81.0,3.0,70.0,73.0,3.0,5.5,5.9,0.4,4.8,5.8,1.0,,,,,,,,,,0.99,0.99,0.0
430502,4,52.0,58.0,6.0,49.0,60.0,11.0,4.9,5.5,0.6,5.2,6.0,0.8,,,,,,,,,,,,
430503,4,71.0,75.0,4.0,64.0,68.0,4.0,5.1,5.7,0.6,5.5,6.3,0.8,,,,,,,,,,0.99,0.99,0.0
431001,4,,,,,,,,,,,,,,,,4.6,5.0,0.4,6.5,6.6,0.1,,,
431002,4,73.0,76.0,3.0,61.0,65.0,4.0,5.8,6.1,0.3,6.3,6.8,0.5,,,,,,,,,,,,
431003,4,54.0,60.0,6.0,53.0,60.0,7.0,5.2,5.8,0.6,5.4,6.2,0.8,,,,,,,,,,0.99,0.99,0.0
431004,4,82.0,84.0,2.0,78.0,81.0,3.0,5.2,5.8,0.6,6.6,6.9,0.3,,,,,,,,,,,,
431006,4,55.0,61.0,6.0,64.0,68.0,4.0,5.6,5.9,0.3,5.5,6.2,0.7,,,,,,,,,,0.99,0.99,0.0
431007,4,,,,,,,,,,,,,,,,5.4,5.5,0.1,6.1,6.2,0.1,,,
431008,4,,,,,,,,,,,,,,,,5.0,5.2,0.2,5.7,5.9,0.2,,,
431009,4,,,,,,,4.9,5.5,0.6,4.5,5.5,1.0,,,,4.2,4.7,0.5,4.4,5.1,0.7,,,
431010,4,82.0,84.0,2.0,91.0,92.0,1.0,5.3,5.9,0.6,7.6,7.5,0.0,,,,,,,,,,0.99,0.99,0.0
431011,4,68.0,72.0,4.0,77.0,80.0,3.0,4.9,5.5,0.6,5.7,6.4,0.7,,,,,,,,,,0.99,0.99,0.0
431013,4,68.0,72.0,4.0,38.0,60.0,22.0,4.9,5.5,0.6,5.9,6.5,0.6,,,,,,,,,,,,
431014,4,,,,,,,,,,,,,,,,4.3,4.9,0.6,4.6,5.2,0.6,,,
431015,4,79.0,82.0,3.0,80.0,82.0,2.0,,,,,,,0.99,0.99,0.0,,,,,,,,,
431016,4,37.0,50.0,13.0,26.0,60.0,34.0,4.7,5.3,0.6,6.1,6.6,0.5,,,,,,,,,,,,
431017,4,,,,,,,,,,5.7,6.3,0.6,,,,4.1,4.8,0.7,4.4,5.1,0.7,,,
431018,4,,,,,,,,,,,,,,,,4.0,4.7,0.7,4.6,5.2,0.6,,,
431019,4,43.0,51.0,8.0,46.0,60.0,14.0,4.9,5.5,0.6,5.8,6.4,0.6,,,,,,,,,,,,
431021,4,77.0,80.0,3.0,88.0,90.0,2.0,5.4,5.8,0.4,6.0,6.5,0.5,,,,,,,,,,,,
431022,4,63.0,68.0,5.0,72.0,75.0,3.0,4.7,5.3,0.6,5.4,6.2,0.8,,,,,,,,,,,,
431023,4,84.0,86.0,2.0,85.0,87.0,2.0,5.6,5.9,0.3,6.9,7.1,0.2,,,,,,,,,,,,
431024,4,34.0,50.0,16.0,79.0,82.0,3.0,5.2,5.8,0.6,5.6,6.3,0.7,,,,,,,,,,,,
431026,4,,,,,,,,,,,,,,,,4.1,4.7,0.6,4.9,5.4,0.5,,,
431027,4,,,,,,,,,,,,,,,,4.0,4.8,0.8,4.3,5.1,0.8,,,
431501,4,57.0,63.0,6.0,49.0,60.0,11.0,5.0,5.6,0.6,5.6,6.3,0.7,,,,,,,,,,,,
431502,4,62.0,67.0,5.0,64.0,68.0,4.0,4.4,5.0,0.6,5.0,5.9,0.9,,,,,,,,,,0.99,0.99,0.0
514001,5,90.0,91.0,1.0,100.0,100.0,0.0,5.3,5.9,0.6,5.9,6.5,0.6,,,,,,,,,,,,
514002,5,,,,,,,,,,,,,,,,4.5,4.9,0.4,4.8,5.3,0.5,,,
514003,5,,,,,,,,,,,,,,,,4.5,5.0,0.5,4.7,5.4,0.7,,,
514004,5,59.0,64.0,5.0,81.0,83.0,2.0,5.6,6.0,0.4,5.4,6.2,0.8,,,,,,,,,,,,
514005,5,61.0,66.0,5.0,53.0,60.0,7.0,5.2,5.8,0.6,5.6,6.3,0.7,,,,,,,,,,,,
514006,5,96.0,96.0,0.0,95.0,95.0,0.0,5.5,5.9,0.4,7.7,7.5,0.0,,,,,,,,,,,,
514007,5,64.0,69.0,5.0,71.0,74.0,3.0,6.0,6.1,0.1,7.1,7.3,0.2,,,,,,,,,,,,
514008,5,,,,,,,,,,,,,,,,5.1,5.3,0.2,5.7,5.9,0.2,,,
514009,5,63.0,68.0,5.0,78.0,81.0,3.0,4.7,5.3,0.6,6.6,6.9,0.3,,,,,,,,,,,,
514010,5,47.0,54.0,7.0,51.0,60.0,9.0,5.3,5.9,0.6,7.0,7.2,0.2,,,,,,,,,,,,
514011,5,93.0,93.0,0.0,89.0,90.0,1.0,5.6,6.0,0.4,7.3,7.4,0.1,,,,,,,,,,,,
514012,5,81.0,83.0,2.0,100.0,100.0,0.0,5.8,6.0,0.2,7.4,7.5,0.1,,,,,,,,,,,,
514013,5,87.0,88.0,1.0,99.0,99.0,0.0,6.1,6.2,0.1,7.4,7.5,0.1,,,,,,,,,,,,
514015,5,,,,,,,,,,,,,,,,4.2,4.8,0.6,4.8,5.4,0.6,,,
514016,5,50.0,57.0,7.0,81.0,83.0,2.0,5.2,5.8,0.6,6.0,6.6,0.6,,,,,,,,,,,,
514017,5,66.0,70.0,4.0,69.0,72.0,3.0,5.8,6.1,0.3,7.3,7.4,0.1,,,,,,,,,,,,
514018,5,,,,,,,,,,,,,,,,3.9,4.6,0.7,4.4,5.1,0.7,,,
514019,5,52.0,58.0,6.0,58.0,62.0,4.0,4.8,5.4,0.6,6.4,6.8,0.4,,,,3.6,4.4,0.8,4.4,5.2,0.8,,,
514020,5,,,,,,,,,,,,,,,,4.7,5.1,0.4,5.4,5.7,0.3,,,
514021,5,,,,,,,,,,,,,,,,5.3,5.4,0.1,5.6,5.8,0.2,,,
514022,5,,,,,,,,,,,,,,,,5.1,5.2,0.1,5.5,5.8,0.3,,,
514023,5,67.0,71.0,4.0,74.0,77.0,3.0,6.2,6.2,0.0,6.3,6.8,0.5,,,,4.6,5.0,0.4,5.0,5.5,0.5,,,
514024,5,69.0,73.0,4.0,95.0,95.0,0.0,5.9,6.1,0.2,6.5,6.9,0.4,,,,,,,,,,,,
514025,5,,,,,,,,,,,,,,,,3.8,4.6,0.8,4.3,5.1,0.8,,,
514026,5,49.0,56.0,7.0,60.0,64.0,4.0,5.8,6.1,0.3,6.2,6.7,0.5,,,,,,,,,,,,
514027,5,43.0,51.0,8.0,47.0,60.0,13.0,5.2,5.8,0.6,5.9,6.5,0.6,,,,,,,,,,,,
514028,5,91.0,92.0,1.0,92.0,93.0,1.0,6.2,6.2,0.0,6.7,7.0,0.3,,,,,,,,,,,,
514029,5,,,,,,,,,,,,,,,,4.9,5.1,0.2,5.4,5.7,0.3,,,
514030,5,53.0,59.0,6.0,55.0,60.0,5.0,5.8,6.1,0.3,6.2,6.7,0.5,,,,,,,,,,0.99,0.99,0.0
514031,5,55.0,61.0,6.0,64.0,68.0,4.0,5.4,5.9,0.5,6.3,6.7,0.4,,,,,,,,,,,,
514032,5,,,,,,,,,,,,,,,,3.4,4.2,0.8,4.2,4.9,0.7,,,
514033,5,69.0,73.0,4.0,62.0,66.0,4.0,5.8,6.0,0.2,6.5,6.9,0.4,,,,,,,,,,,,
514035,5,81.0,83.0,2.0,79.0,82.0,3.0,5.6,6.0,0.4,7.5,7.5,0.0,,,,,,,,,,,,
514501,5,71.0,75.0,4.0,91.0,92.0,1.0,5.4,5.9,0.5,5.4,6.2,0.8,,,,,,,,,,,,
515001,5,,,,,,,,,,,,,,,,4.9,5.2,0.3,5.3,5.6,0.3,,,
515002,5,,,,,,,,,,,,,,,,4.8,5.1,0.3,5.1,5.5,0.4,,,
515003,5,76.0,79.0,3.0,95.0,95.0,0.0,4.9,5.5,0.6,6.7,7.0,0.3,,,,,,,,,,,,
515004,5,,,,,,,,,,,,,,,,4.6,5.0,0.4,4.9,5.4,0.5,,,
515005,5,51.0,58.0,7.0,58.0,62.0,4.0,5.3,5.9,0.6,6.0,6.5,0.5,,,,,,,,,,,,
515007,5,67.0,71.0,4.0,53.0,60.0,7.0,5.5,5.9,0.4,6.1,6.6,0.5,,,,,,,,,,,,
515009,5,69.0,73.0,4.0,70.0,73.0,3.0,6.2,6.2,0.0,6.0,6.6,0.6,,,,,,,,,,,,
515010,5,100.0,100.0,0.0,69.0,72.0,3.0,5.5,5.9,0.4,5.7,6.4,0.7,,,,,,,,,,,,
515011,5,,,,,,,,,,,,,,,,4.6,5.0,0.4,5.4,5.7,0.3,,,
515012,5,86.0,88.0,2.0,95.0,95.0,0.0,5.4,5.9,0.5,6.2,6.7,0.5,,,,,,,,,,,,
515013,5,,,,,,,,,,,,,,,,4.7,5.1,0.4,5.1,5.5,0.4,,,
515014,5,96.0,96.0,0.0,100.0,100.0,0.0,5.3,5.9,0.6,6.9,7.2,0.3,,,,,,,,,,,,
515015,5,87.0,88.0,1.0,87.0,89.0,2.0,,,,,,,1.0,0.99,0.0,,,,,,,,,
515016,5,,,,,,,,,,,,,,,,4.3,4.9,0.6,4.8,5.4,0.6,,,
515017,5,78.0,81.0,3.0,96.0,96.0,0.0,5.5,5.9,0.4,6.4,6.9,0.5,,,,,,,,,,,,
515018,5,70.0,74.0,4.0,98.0,98.0,0.0,6.1,6.2,0.1,5.9,6.5,0.6,,,,,,,,,,,,
515019,5,83.0,85.0,2.0,97.0,97.0,0.0,6.2,6.2,0.0,6.7,7.0,0.3,,,,,,,,,,,,
515020,5,,,,,,,,,,,,,,,,4.0,4.8,0.8,4.1,5.0,0.9,,,
515021,5,51.0,58.0,7.0,63.0,67.0,4.0,5.5,5.9,0.4,5.9,6.5,0.6,,,,4.6,5.0,0.4,5.1,5.6,0.5,,,
515022,5,,,,,,,5.2,5.8,0.6,6.8,7.1,0.3,,,,4.3,4.8,0.5,4.9,5.4,0.5,,,
515023,5,79.0,82.0,3.0,83.0,85.0,2.0,5.3,5.8,0.5,5.8,6.3,0.5,,,,4.4,4.9,0.5,4.9,5.4,0.5,,,
515024,5,75.0,78.0,3.0,91.0,92.0,1.0,6.0,6.1,0.1,6.1,6.6,0.5,,,,,,,,,,,,
515025,5,,,,,,,,,,,,,,,,5.2,5.3,0.1,5.6,5.8,0.2,,,
515026,5,76.0,79.0,3.0,95.0,95.0,0.0,5.6,5.9,0.3,6.6,6.9,0.3,,,,,,,,,,,,
515027,5,66.0,70.0,4.0,82.0,84.0,2.0,5.6,6.0,0.4,6.6,7.0,0.4,,,,,,,,,,,,
515028,5,,,,,,,,,,,,,,,,4.5,4.9,0.4,4.8,5.3,0.5,,,
515029,5,,,,,,,,,,,,,,,,4.6,5.0,0.4,5.6,5.8,0.2,,,
515030,5,60.0,65.0,5.0,84.0,86.0,2.0,5.7,6.0,0.3,6.1,6.6,0.5,,,,4.4,4.9,0.5,4.8,5.3,0.5,,,
515033,5,87.0,88.0,1.0,100.0,100.0,0.0,5.8,6.1,0.3,7.3,7.4,0.1,,,,,,,,,,,,
515034,5,79.0,82.0,3.0,87.0,89.0,2.0,5.8,6.1,0.3,6.2,6.7,0.5,,,,,,,,,,,,
515035,5,52.0,58.0,6.0,54.0,60.0,6.0,5.4,5.9,0.5,6.3,6.7,0.4,,,,,,,,,,,,
515037,5,51.0,58.0,7.0,35.0,60.0,25.0,5.7,6.0,0.3,6.5,6.9,0.4,,,,,,,,,,0.99,0.99,0.0
515038,5,70.0,74.0,4.0,63.0,67.0,4.0,5.4,5.9,0.5,5.7,6.4,0.7,,,,,,,,,,,,
515039,5,61.0,66.0,5.0,48.0,60.0,12.0,5.8,6.0,0.2,5.5,6.2,0.7,,,,4.2,4.8,0.6,4.7,5.3,0.6,,,
515040,5,,,,,,,,,,,,,,,,4.4,4.9,0.5,4.7,5.3,0.6,,,
515041,5,77.0,80.0,3.0,72.0,75.0,3.0,6.1,6.2,0.1,6.4,6.8,0.4,,,,4.8,5.1,0.3,5.3,5.7,0.4,,,
515043,5,75.0,78.0,3.0,76.0,79.0,3.0,6.4,6.2,0.0,6.1,6.6,0.5,,,,,,,,,,,,
515044,5,71.0,75.0,4.0,48.0,60.0,12.0,5.5,5.9,0.4,6.0,6.5,0.5,,,,,,,,,,,,
515045,5,,,,,,,,,,,,,,,,4.9,5.2,0.3,5.5,5.8,0.3,,,
515047,5,56.0,62.0,6.0,68.0,71.0,3.0,5.6,6.0,0.4,6.7,7.1,0.4,,,,,,,,,,,,
515048,5,51.0,58.0,7.0,58.0,62.0,4.0,5.0,5.6,0.6,5.4,6.1,0.7,,,,4.5,4.9,0.4,5.1,5.5,0.4,,,
515049,5,72.0,76.0,4.0,85.0,87.0,2.0,6.0,6.2,0.2,6.3,6.8,0.5,,,,,,,,,,,,
515050,5,65.0,70.0,5.0,63.0,67.0,4.0,6.2,6.2,0.0,6.8,7.0,0.2,,,,,,,,,,0.99,0.99,0.0
515051,5,91.0,92.0,1.0,100.0,100.0,0.0,5.8,6.1,0.3,6.6,7.0,0.4,,,,,,,,,,,,
515052,5,,,,,,,,,,,,,,,,4.6,5.0,0.4,5.0,5.4,0.4,,,
515053,5,92.0,93.0,1.0,88.0,90.0,2.0,5.9,6.1,0.2,6.4,6.8,0.4,,,,,,,,,,,,
515054,5,78.0,81.0,3.0,75.0,78.0,3.0,5.4,5.8,0.4,5.9,6.5,0.6,,,,4.7,5.1,0.4,5.1,5.6,0.5,,,
515055,5,,,,,,,,,,,,,,,,4.1,4.8,0.7,4.8,5.3,0.5,,,
515056,5,82.0,84.0,2.0,91.0,92.0,1.0,6.2,6.2,0.0,7.2,7.3,0.1,,,,,,,,,,0.99,0.99,0.0
515057,5,,,,,,,,,,,,,,,,4.5,5.0,0.5,5.1,5.5,0.4,,,
